[0.6125 0.2875],[0.8375 0.7375],[0.9875 0.4125],
[0.225 0.325],[0.45  0.775],[0.6875 0.9375],
[0.7375 0.9125],[0.375 0.   ],[0.6  0.45],
[0.0625 0.8125],[0.1125 0.7875],[0.8875 0.5875],
[0.35 0.95],[0.75  0.125],[0.2625 0.4625],
[0.5   0.625],[0.7875 0.7625],[0.65 0.3 ],
[0.9375 0.4375],[0.3125 0.3125],[0.775 0.925],
[0.55  0.475],[0.7  0.15],[0.925 0.6  ],
[0.825 0.775],[0.975 0.45 ],[0.4375 0.8125],
[0.875 0.625],[0.1875 0.3125],[0. 0.],
[0.075 0.65 ],[0.3625 0.7875],[0.5125 0.4625],
[0.6625 0.1375],[0.125 0.5  ],[0.0375 0.0125],
[0.275 0.175],[0.5625 0.3125],[0.025 0.675],
[0.1625 0.6375],[0.175 0.35 ],[0.4 0.8],
[0.6375 0.9625],[0.325 0.025],[0.0125 0.8375],
[0.8375 0.6125],[0.3   0.975],[0.2125 0.4875],
[0.9875 0.2875],[0.225 0.2  ],[0.45 0.65],
[0.6875 0.8125],[0.3625 0.1625],[0.7375 0.7875],
[0.6   0.325],[0.0625 0.6875],[0.1125 0.6625],
[0.75 0.  ],[0.8875 0.4625],[0.35  0.825],
[0.2625 0.3375],[0.5 0.5],[0.725 0.95 ],
[0.4125 0.0125],[0.65  0.175],[0.3375 0.9875],
[0.9375 0.3125],[0.3125 0.1875],[0.55 0.35],
[0.775 0.8  ],[0.7   0.025],[0.925 0.475],
[0.3875 0.8375],[0.675 0.975],[0.5375 0.5125],
[0.05 0.85],[0.825 0.65 ],[0.7375 0.1625],
[0.975 0.325],[0.4375 0.6875],[0.5875 0.3625],
[0.875 0.5  ],[0.7875 0.0125],[0.7125 0.9875],
[0.7625 0.8375],[0.075 0.525],[0.9125 0.5125],
[0.6625 0.0125],[0.125 0.375],[0.275 0.05 ],
[0.1625 0.5125],[0.175 0.225],[0.4   0.675],
[0.6375 0.8375],[0.0125 0.7125],[0.8375 0.4875],
[0.3  0.85],[0.2125 0.3625],[0.9875 0.1625],
[0.45  0.525],[0.3625 0.0375],[0.6 0.2],
[0.0625 0.5625],[0.1125 0.5375],[0.35 0.7 ],
[0.2625 0.2125],[0.5   0.375],[0.725 0.825],
[0.9625 0.9875],[0.65 0.05],[0.3375 0.8625],
[0.4875 0.5375],[0.3125 0.0625],[0.    0.875],
[0.55  0.225],[0.775 0.675],[0.6375 0.2125],
[0.925 0.35 ],[0.15 0.55],[0.3875 0.7125],
[0.675 0.85 ],[0.5375 0.3875],[0.825 0.525],
[0.6875 0.0625],[0.2875 0.8875],[0.05  0.725],
[0.7375 0.0375],[0.2 0.4],[0.975 0.2  ],
[0.4375 0.5625],[0.35  0.075],[0.5875 0.2375],
[0.8125 0.6875],[0.875 0.375],[0.7125 0.8625],
[0.8625 0.5375],[0.325 0.9  ],[0.525 0.55 ],
[0.7625 0.7125],[0.075 0.4  ],[0.9125 0.3875],
[0.375 0.75 ],[0.25  0.875],[0.1625 0.3875],
[0.4  0.55],[0.7 0.9],[0.0125 0.5875],
[0.2125 0.2375],[0.45 0.4 ],[0.6   0.075],
[0.0625 0.4375],[0.1125 0.4125],[0.2625 0.0875],
[0.725 0.7  ],[0.1   0.575],[0.3375 0.7375],
[0.25 0.25],[0.625 0.875],[0.4875 0.4125],
[0.   0.75],[0.6375 0.0875],[0.775 0.55 ],
[0.2375 0.9125],[0.925 0.225],[0.15  0.425],
[0.3875 0.5875],[0.3 0.1],[0.5375 0.2625],
[0.825 0.4  ],[0.05 0.6 ],[0.2875 0.7625],
[0.2   0.275],[0.425 0.725],[0.4375 0.4375],
[0.6625 0.8875],[0.975 0.075],[0.5875 0.1125],
[0.8125 0.5625],[0.275 0.925],[0.9625 0.2375],
[0.475 0.575],[0.7125 0.7375],[0.95 0.9 ],
[0.625 0.25 ],[0.8625 0.4125],[0.325 0.775],
[0.6125 0.9125],[0.525 0.425],[0.7625 0.5875],
[0.225 0.95 ],[0.675 0.1  ],[0.9125 0.2625],
[0.1375 0.4625],[0.375 0.625],[0.65  0.925],
[0.8 0.6],[0.1625 0.2625],[0.3125 0.9375],
[0.7   0.775],[0.0125 0.4625],[0.85 0.45],
