[0.38518519 1.07899257],[0.23703704 0.69663113],[0.92592593 0.16237267],
[0.22962963 1.09470605],[0.77037037 0.17808615],[0.16296296 1.00042515],
[0.61481481 0.19379964],[0.15555556 1.39850008],[0.00740741 1.01613863],
[0.45925926 0.20951312],[0.39259259 0.11523222],[0.93333333 1.1785113 ],
[0.38518519 0.51330714],[0.23703704 0.1309457 ],[0.22962963 0.52902063],
[0.08148148 0.14665918],[0.07407407 0.54473411],[0.63703704 0.27236706],
[0.62962963 0.67044199],[0.4        0.98994949],[0.25185185 0.60758805],
[0.85185185 0.18332398],[0.24444444 1.00566298],[0.0962963  0.62330153],
[0.08888889 1.02137646],[0.62962963 0.10475656],[0.47407407 0.12047004],
[0.01481481 1.32517049],[0.31851852 0.13618353],[0.31111111 0.53425846],
[0.94814815 1.08946823],[0.25185185 0.04190262],[0.79259259 1.10518171],
[0.24444444 0.43997755],[0.0962963  0.05761611],[0.08888889 0.45569104],
[0.48888889 0.59711239],[0.48148148 0.99518732],[0.86666667 0.0942809 ],
[0.25925926 0.9166199 ],[0.11111111 0.53425846],[0.71111111 0.10999439],
[0.1037037  0.93233339],[0.48888889 0.03142697],[0.48148148 0.4295019 ],
[0.33333333 0.04714045],[0.32592593 0.44521538],[0.17777778 0.06285394],
[0.17037037 0.46092886],[0.02222222 0.07856742],[0.80740741 1.01613863],
[0.4962963  0.90614425],[0.34814815 0.5237828 ],[0.26666667 1.36707311],
[0.34074074 0.92185773],[0.72592593 0.02095131],[0.57037037 0.0366648 ],
[0.4962963  0.34045882],[0.88888889 1.02137646],[0.34074074 0.3561723 ],
[0.18518519 0.37188579],[0.02962963 0.38759927],[0.65925926 1.34088397],
[0.5037037  1.35659745],[0.88888889 0.45569104],[0.88148148 0.85376597],
[0.20740741 0.45045321],[0.2        0.84852814],[0.9037037  0.93233339],
[0.8962963  1.33040831],[0.74814815 0.94804687],[0.2        0.28284271],
[0.74074074 1.3461218 ],[0.04444444 0.2985562 ],[0.97777778 0.06285394],
[0.51851852 1.26755438],[0.36296296 1.28326786],[0.91851852 1.40897573],
[0.74814815 0.38236144],[0.74074074 0.78043637],[0.06666667 0.37712362],
[0.05925926 0.77519855],[0.99259259 0.53949628],[0.98518519 0.93757121],
[0.91851852 0.84329031],[0.91111111 1.24136524],[0.12592593 0.30379402],
[0.76296296 0.85900379],[0.75555556 1.25707872],[0.60740741 0.87471728],
[0.05925926 0.20951312],[0.6        1.27279221],[0.45185185 0.89043076],
[0.98518519 0.37188579],[0.37777778 1.19422479],[0.22222222 1.20993827],
[0.77777778 1.33564614],[0.60740741 0.30903185],[0.62222222 1.35135963],
[0.6        0.70710678],[0.45185185 0.32474534],[0.84444444 0.86424162],
[0.83703704 1.26231655],[0.14074074 0.21475095],[0.77777778 0.76996072],
[0.77037037 1.16803565],[0.62222222 0.7856742 ],[0.61481481 1.18374913],
[0.46666667 0.80138769],[0.45925926 1.19946261],[0.84444444 0.2985562 ],
[0.23703704 1.12089519],[0.83703704 0.69663113],[0.68888889 0.31426968],
[0.08148148 1.13660868],[0.63703704 1.26231655],[0.85925926 0.77519855],
[0.85185185 1.17327347],[0.7037037  0.79091203],[0.15555556 0.12570787],
[0.6962963  1.18898696],[0.         0.14142136],[0.63703704 0.69663113],
[0.62962963 1.09470605],[0.47407407 1.11041954],[0.31851852 1.12613302],
[0.85925926 0.20951312],[0.85185185 0.60758805],[0.7037037 0.2252266],
