[0.12229102,1.43180319],[0.14551083,3.77590576],[-0.2476780,2.28074845],
[0.41331269,0.79826195],[-0.0201238,0.69689535],[0.64860681,2.72422731],
[0.07275541,1.88795288],[0.73374613,0.40546639],[0.30030959,0.30409979],
[-0.1547987,3.47180597],[0.57585139,0.83627443],[0.11300309,0.49416216],
[-0.0696594,1.15304504],[0.59907120,3.18037700],[0.16563467,3.07901040],
[0.43343653,0.10136659],[-0.2043343,3.92795566],[0.0,0.0],
[0.48606811,2.68621484],[0.09287925,1.19105752],[0.11609907,3.53516009],
[-0.1346749,2.77491061],[-0.3173374,3.43379350],[-0.0495356,0.45614969],
[-0.0417956,3.96596813],[0.61919504,2.48348164],[0.18575851,2.38211504],
[0.27089783,0.06335412],[0.27863777,3.57317257],[-0.1842105,3.23106030],
[0.50619195,1.98931948],[0.13622291,2.83826473],[-0.2972136,2.73689814],
[0.45665634,2.44546917],[0.02321981,2.34410257],[0.68421052,0.86161608],
[-0.1640866,2.53416494],[-0.3467492,3.19304783],[0.52631578,1.29242412],
[-0.1191950,1.60919473],[0.15634674,2.14136937],[0.84674922,0.89962855],
[0.38390092,0.55751628],[0.47678018,1.74857381],[0.04334365,1.64720721],
[0.70433436,0.16472072],[0.06656346,3.99130978],[0.79721362,1.35577824],
[0.36377708,1.25441164],[-0.0990712,0.91229938],[0.56965944,2.93963133],
[0.17647058,1.44447401],[-0.0061919,2.10335690],[0.65479876,0.62087041],
[0.22136222,0.51950381],[0.22910216,4.02932226],[-0.2337461,3.68720999],
[0.49690402,1.05167845],[0.06346749,0.95031185],[0.54953560,3.63652669],
[0.08668730,3.29441442],[0.81733746,0.65888288],[0.35448916,0.31677061],
[-0.0712074,3.72522246],[0.58978328,2.24273597],[0.40712074,2.90161886],
[0.01393188,1.40646154],[0.03715170,3.75056411],[0.24922600,3.33242690],
[-0.2136222,2.99031463],[-0.3962848,3.64919752],[0.51702786,0.35478309],
[0.33436532,1.01366597],[0.54024767,2.69888566],[0.10681114,2.59751906],
[0.19195046,0.27875814],[0.19969040,3.78857659],[0.42724458,2.20472350],
[0.03405572,0.70956618],[0.52012383,3.39578102],[0.05727554,3.05366875],
[0.74767801,1.81192793],[0.56037151,2.00199030],[0.37770897,2.66087319],
[0.12693498,1.90062370],[-0.0557275,2.55950659],[0.21981424,3.09168123],
[-0.2430340,2.74956896],[0.44736842,1.50782814],[0.07739938,2.35677339],
[0.76780185,1.11503257],[-0.2631578,3.44646432],[0.39783281,1.96397783],
[-0.0356037,1.86261123],[0.62538699,0.38012474],[0.71826625,1.57118226],
[0.46749226,0.81093278],[0.28482972,1.46981566],[0.09752321,1.65987803],
[-0.0851393,2.31876092],[0.78792569,0.41813721],[0.32507739,0.07602494],
[0.14241486,0.73490783],[0.41795665,1.26708247],[-0.0154798,1.16571587],
[0.47058823,3.85193071],[0.73839009,0.87428690],[0.30495356,0.77292030],
[-0.1501547,3.94062648],[0.51083591,2.45813999],[0.32817337,3.11702288],
[-0.0650154,1.62186556],[0.59597523,0.13937907],[0.16253869,0.03801247],
[0.17027863,3.54783092],[0.43808049,0.57018711],[0.25541795,1.22906999],
[0.00464396,0.46882051],[0.49071207,3.15503535],[0.02786377,2.81292308],
[0.75851393,0.17739154],[0.12074303,4.00398061],[-0.3126934,3.90261401],
[0.34829721,2.42012752],[-0.0448916,0.92497020],[0.44117647,3.61118504],
[0.19040247,2.85093556],[0.00773993,3.50981844],[0.66873065,2.02733195],
[0.27554179,0.53217463],[0.48142414,2.21739432],[0.29876160,2.87627721],
[0.04798761,2.11602772],[-0.2925696,3.20571865],[0.36842105,1.72323216],
[-0.0247678,0.22807484],[0.46130030,2.91428968],[-0.0015479,2.57217741],
[0.68885448,1.33043659],[0.31888544,2.17938185],[-0.1145510,2.07801525],
[-0.0216718,3.26907277],[0.82198142,1.12770340],[0.63931888,1.78658628],
[0.38854489,1.02633680],[0.20588235,1.68521968],[0.86687306,0.20273319],
[0.01857585,1.87528205],[0.70897832,0.63354123],[0.33900928,1.48248649],
[-0.0944272,1.38111989],[0.57430340,3.40845185],[0.39164086,4.06733473],
[0.65944272,1.08969092],[0.14086687,3.30708525],[0.22600619,0.98832432],
[-0.1439628,1.83726958],[0.54643962,0.59552876],[0.08359133,0.25341649],
[0.09133126,3.76323494],[0.35913312,0.78559113],[-0.3421052,3.66186834],
[-0.0743034,0.68422453],[0.41176470,3.37043937],[0.67956656,0.39279556],
[0.24613003,0.29142896],[0.26934984,2.63553154],[-0.1238390,1.14037422],
