[-0.34414557  1.22031093],[-0.14952532  0.42072469],[0.64952532 0.90215096],
[0.33702532 1.06751042],[0.3164557  0.03349052],[0.69303797 0.44374943],
[0.59256329 0.68446256],[0.34098101 1.2663604 ],[0.53560127 0.46677416],
[-0.3971519   1.20147251],[0.28401899 1.048672  ],[0.59651899 0.88331254],
[0.26344937 0.0146521 ],[0.64003165 0.42491101],[0.53955696 0.66562414],
[0.28797468 1.24752198],[0.48259494 0.44793574],[0.54351266 0.86447412],
[0.73813291 0.06488789],[0.48655063 0.64678572],[0.05300633 0.01883842],
[0.42958861 0.42909732],[0.23496835 1.22868356],[0.11392405 0.4353768 ],
[0.49050633 0.8456357 ],[0.68512658 0.04604947],[0.37262658 0.21140893],
[0.05696203 0.2176884 ],[0.4335443 0.6279473],[0.33306962 0.86866044],
[0. 0.],[0.18196203 1.20984514],[0.37658228 0.41025891],
[0.06091772 0.41653838],[0.4375     0.82679728],[0.63212025 0.02721105],
[0.31962025 0.19257051],[0.0039557  0.19884998],[0.38053797 0.60910889],
[0.28006329 0.84982202],[0.63607595 0.22606103],[0.32357595 0.39142049],
[0.00791139 0.39769996],[0.38449367 0.80795887],[0.26661392 0.17373209],
[-0.02848101  1.21403146],[-0.04905063  0.18001156],[0.32753165 0.59027047],
[0.22705696 0.8309836 ],[0.27056962 0.37258207],[0.54667722 1.02355411],
[0.94857595 0.06070157],[0.21360759 0.15489367],[-0.08148734  1.19519304],
[0.23101266 1.02983358],[0.27452532 0.57143205],[0.17405063 0.81214518],
[0.21756329 0.35374365],[0.11708861 0.59445678],[0.49367089 1.00471569],
[0.89556962 0.04186315],[0.17800633 1.01099516],[-0.13449367  1.17635462],
[0.64398734 0.62376099],[0.1210443  0.79330676],[0.58702532 0.40607259],
[0.06408228 0.57561836],[0.84256329 0.02302473],[0.125      0.99215674],
[-0.1875     1.1575162],[0.06803797 0.77446834],[-0.24446203  0.9398278 ],
[0.53401899 0.38723417],[0.01107595 0.55677994],[0.78955696 0.00418632],
[0.07199367 0.97331832],[-0.24050633  1.13867778],[-0.04588608  0.33909154],
[0.01503165 0.75562992],[-0.04193038  0.53794152],[0.01898734 0.9544799 ],
[-0.29351266  1.11983936],[-0.09889241  0.32025313],[0.57911392 0.00837263],
[-0.03797468  0.7367915 ],[-0.28955696  1.31868934],[-0.09493671  0.51910311],
[0.89873418 0.20094314],[0.58306962 0.20722261],[-0.34651899  1.10100094],
[-0.03401899  0.93564148],[0.6471519  0.78284097],[-0.09098101  0.71795309],
[-0.34256329  1.29985092],[-0.14794304  0.50026469],[0.84572785 0.18210472],
[0.12816456 1.15123673],[0.53006329 0.18838419],[0.59414557 0.76400255],
[0.16060127 0.13605525],[-0.14398734  0.69911467],[0.84968354 0.3809547 ],
[0.22151899 0.55259363],[-0.39556962  1.2810125 ],[0.59810127 0.96285253],
[0.79272152 0.1632663 ],[0.49762658 1.20356567],[0.16455696 0.33490523],
[0.47705696 0.16954577],[0.54113924 0.74516414],[0.22547468 0.75144361],
[-0.29746835  0.92098938],[0.79667722 0.36211628],[0.16851266 0.53375521],
[0.54509494 0.94401411],[0.73971519 0.14442788],[0.44462025 1.18472725],
[0.42405063 0.15070735],[0.11155063 0.31606681],[0.38765823 0.96703885],
[0.74367089 0.34327786],[0.6431962  0.58399099],[0.11550633 0.51491679],
[0.49208861 0.9251757 ],[0.39161392 1.16588883],[0.3710443  0.13186893],
[0.0585443  0.29722839],[0.3346519  0.94820043],[0.59018987 0.56515257],
[0.0625     0.49607837],[0.43908228 0.90633728],[0.33860759 1.14705041],
[0.53322785 0.34746418],[0.00553797 0.27838997],[-0.39952532  1.08216252],
[0.28164557 0.92936201],[0.53718354 0.54631416],[0.00949367 0.47723995],
[0.28560127 1.12821199],[0.48022152 0.32862576],[0.22863924 0.91052359],
[0.10759494 0.11721683],[0.17167722 0.69283519],[0.48417722 0.52747574],
[0.23259494 1.10937357],[0.42721519 0.30978734],[-0.2903481   1.27891934],
[0.17563291 0.89168517],[0.48813291 0.72632572],[0.05458861 0.09837841],
[0.23655063 1.30822355],[0.43117089 0.50863732],[0.11867089 0.67399677],
[-0.19699367  0.68027625],[0.8971519  0.12140315],[0.17958861 1.09053515],
[0.37420886 0.29094892],[0.31724684 0.07326052],[0.43512658 0.7074873 ],
[0.12262658 0.87284675],[-0.19303797  0.87912623],[0.00158228 0.07953999],
[0.1835443  1.28938513],[0.37816456 0.4897989 ],[0.06566456 0.65515835],
[-0.25        0.66143783],[0.84414557 0.10256473],[0.32120253 0.2721105 ],
[0.12658228 1.07169673],[0.02610759 1.31240987],[0.68670886 0.12558946],
[0.38212025 0.68864888],[0.06962025 0.85400833],[-0.03085443  1.09472147],
[0.74762658 0.54212784],[0.01265823 0.63631994],[0.69066456 0.32443944],
[0.07357595 1.05285831],[-0.02689873  1.29357145],[-0.04746835  0.25955155],
[0.63370253 0.10675104],[0.01661392 0.83516992],[-0.08386076  1.07588305],
[0.69462025 0.52328942],[0.63765823 0.30560102],[0.02056962 1.0340199 ],
[-0.07990506  1.27473303],[0.11471519 0.47514679],[0.5806962  0.08791262],
[-0.03639241  0.8163315 ],[-0.13686709  1.05704463],[0.64161392 0.504451  ],
[0.5846519 0.2867626],[-0.03243671  1.01518148],[-0.13291139  1.25589461],
[0.06170886 0.45630837],[0.52768987 0.0690742 ],[-0.18987342  1.03820621],
[-0.24683544  0.82051781],[0.53164557 0.26792418],[-0.18591772  1.23705619],
[0.00870253 0.43746996],[0.47468354 0.05023578],[-0.24287975  1.01936779],
[-0.29984177  0.80167939],[0.49920886 1.28310566],[0.47863924 0.24908576],
[-0.0443038   0.41863154],[-0.23892405  1.21821777],[0.94936709 0.10047157],
[0.42167722 0.03139737],[-0.29588608  1.00052937],[0.69778481 0.6823694 ],
[-0.0403481   0.61748152],[0.44620253 1.26426724],[0.42563291 0.23024735],
[0.32515823 0.47096048],[-0.29193038  1.19937935],[0.89636076 0.08163315],
[0.36867089 0.01255895],[0.2681962  0.25327208],[-0.34889241  0.98169095],
[-0.44936709  1.22240409],[0.64477848 0.66353099],[0.32911392 0.66981046],
[0.2721519  0.45212206],[-0.34493671  1.18054093],[0.84335443 0.06279473],
[0.64873418 0.86238097],[0.21518987 0.23443366],[0.59177215 0.64469257],
[0.15822785 0.01674526],[0.27610759 0.65097204],[0.84731013 0.26164471],
[0.53481013 0.42700417],[0.21914557 0.43328364],[-0.39794304  1.16170251],
